condition,profile_id,gender,year_birth,race,education,income,party,donation,newsletter,trust_competent_1,trust_intelligent_1,trust_qualified_1,trust_honest_1,trust_ethical_1,trust_sincere_1,trust_concerned_1,trust_improve_1,trust_considerate_1,trust_feedback_1,trust_transparent_1,trust_attention_1,trust_post_1,distrust_1,funding_5,policy_1_1,policy_2_1,policy_3_1,policy_4_1,inst_trust_epa_1,inst_trust_nasa_1,inst_trust_noaa_1,inst_trust_uni_1,inst_trust_gov_1,belief_post_1,concern_1_1,concern_2_1,concern_3_1,policy_general_1,policy_specific_1_1,policy_specific_2_1,policy_specific_3_1,policy_specific_4_1,policy_specific_5_1,policy_specific_6_1,policy_specific_7_1,individual_meat_1,individual_transport_1,individual_solar_1,individual_fly_1,individual_talk_1,individual_donate_1
control,p00001,2,1981,1,2,1,3,2,Yes,50,55,60,75,80,85,70,65,72,60,68,58,40,30,20,85,10,90,80,60,62,65,70,40,80,70,80,85,65,75,90,95,80,60,70,85,20,30,15,25,40,35
control,p00002,1,1972,1,2,3,1,8,Yes,40,30,20,50,60,70,10,0,5,20,30,40,60,20,50,90,0,80,60,40,60,50,70,30,10,20,10,50,80,40,70,90,80,30,60,50,20,40,10,90,60,30
control,p00003,2,1998,1,3,2,3,7,Yes,80,85,90,95,92,88,78,82,85,75,80,90,60,20,40,90,30,95,80,65,80,75,85,50,95,85,90,60,70,70,80,95,85,40,90,75,30,60,20,10,80,50
control,p00004,2,1961,1,2,5,2,9,Yes,80,85,90,95,98,96,92,94,93,88,89,86,99,5,70,95,85,90,92,92,96,94,98,91,98,96,97,94,95,85,88,90,92,80,89,95,60,75,90,50,80,85
control,p00005,1,2007,1,2,1,2,8,Yes,80,85,90,95,92,89,88,87,86,75,90,92,98,0,20,100,20,90,98,98,99,97,96,95,95,97,99,95,99,75,90,92,98,85,95,99,40,50,10,20,70,60
control,p00006,1,2002,1,3,5,2,10,Yes,80,85,90,95,92,88,90,85,82,78,80,88,92,5,60,98,80,92,90,90,92,88,95,85,95,95,98,99,98,95,92,90,88,80,92,95,75,85,90,50,80,90
control,p00007,1,2007,1,2,1,1,0,Yes,20,25,22,40,45,38,28,30,32,18,12,15,10,50,70,80,0,90,85,40,50,45,60,20,30,40,50,70,60,60,80,90,85,20,80,95,10,50,0,20,30,0
control,p00008,1,2004,3,2,2,3,8,Yes,80,85,90,95,92,88,98,96,94,76,81,73,65,12,40,95,80,90,85,60,70,65,85,45,85,98,97,92,90,95,90,98,92,80,85,95,70,90,80,60,85,75
control,p00009,2,1945,2,2,4,1,9,No,40,45,50,60,65,55,30,35,40,20,25,15,5,30,50,85,10,95,80,70,80,75,90,60,10,90,80,60,20,20,50,70,90,10,40,80,25,50,75,5,65,85
control,p00010,2,1982,1,4,5,3,9,Yes,85,90,92,95,98,96,88,90,92,80,95,85,75,25,60,90,80,92,88,80,92,88,95,78,90,95,98,90,95,85,92,95,88,80,90,92,60,75,85,40,90,80
control,p00011,2,1996,1,1,5,3,9,Yes,80,85,90,95,92,88,80,85,90,78,92,88,95,5,20,95,80,85,92,80,85,88,90,78,80,90,92,88,90,80,85,90,88,92,95,80,60,85,90,40,80,70
control,p00012,2,1960,1,5,3,1,3,No,40,55,60,70,65,50,30,25,40,20,35,15,45,60,80,90,20,95,80,65,75,60,70,50,50,60,70,75,85,90,95,98,92,80,85,90,10,30,15,20,40,25
control,p00013,2,1988,3,3,3,2,6,Yes,80,90,95,98,96,99,92,91,94,88,89,86,96,4,50,92,80,95,93,97,98,96,99,94,95,98,99,96,98,90,92,94,91,88,89,98,60,80,90,70,85,95
control,p00014,2,1962,1,1,1,3,0,No,30,25,20,40,35,45,50,55,60,40,35,45,30,20,80,80,20,90,85,50,55,45,65,40,60,70,65,80,70,60,55,90,85,20,75,70,0,10,25,50,30,40
control,p00015,2,1953,1,3,3,1,5,No,30,40,50,70,60,80,20,10,30,0,10,50,40,50,80,90,20,70,50,40,50,60,80,30,60,80,90,60,70,10,30,50,80,0,40,70,10,20,50,0,30,40
control,p00016,2,1981,1,5,4,3,8,Yes,80,85,90,95,92,88,98,96,94,80,82,95,90,5,70,90,60,92,85,92,95,93,94,88,98,95,98,80,85,70,90,92,85,60,80,95,65,70,85,50,80,90
control,p00017,1,1992,1,5,5,1,8,No,60,65,70,85,90,80,40,45,50,60,70,65,20,80,95,80,20,90,85,40,55,60,75,30,10,50,60,70,30,40,65,80,90,20,70,85,10,20,50,30,40,25
control,p00018,2,1979,1,3,5,2,9,Yes,95,92,98,97,96,94,99,98,97,91,93,95,90,5,75,95,10,98,92,80,90,82,88,78,98,90,92,85,85,60,70,80,75,30,50,60,70,80,85,40,95,90
control,p00019,2,2003,1,4,3,1,6,No,40,50,45,60,55,65,30,35,45,20,15,25,10,50,80,90,20,95,98,70,85,80,90,60,60,40,55,65,75,20,80,90,85,10,95,98,20,80,90,10,60,40
control,p00020,1,1996,1,6,4,1,9,No,75,85,92,88,90,87,65,72,81,68,83,78,42,10,25,95,15,98,92,20,32,45,85,30,50,70,80,90,80,50,65,85,75,40,60,80,20,50,30,10,60,40
control,p00021,2,1987,1,3,1,3,8,No,60,65,70,75,80,85,90,92,95,98,99,96,80,15,40,95,20,98,92,60,70,80,90,50,95,85,90,95,90,80,90,98,92,60,85,95,30,40,20,25,50,10
control,p00022,2,1962,5,2,3,3,8,Yes,85,90,88,95,92,91,94,96,93,89,97,98,99,0,40,95,85,98,99,80,92,86,91,75,95,98,97,94,90,96,95,99,98,92,95,97,50,80,60,70,90,85
control,p00023,2,1937,3,2,2,4,7,Yes,80,85,90,95,98,99,92,88,96,75,90,80,98,5,60,92,80,98,95,80,85,90,95,75,92,90,92,85,95,80,75,95,90,70,85,95,30,50,60,40,20,25
control,p00024,2,1974,1,2,1,1,8,No,20,25,30,45,40,35,10,15,20,5,10,25,30,50,90,70,25,60,40,30,40,35,45,50,20,30,35,20,60,80,70,85,90,60,75,80,50,70,20,10,60,40
control,p00025,1,1972,1,3,2,3,8,Yes,85,90,88,92,95,93,80,85,82,75,80,60,70,20,40,80,40,85,75,60,65,62,70,50,95,70,85,80,90,60,90,95,92,70,85,88,20,50,10,30,70,40
control,p00026,2,1964,1,3,3,3,8,No,85,90,88,95,92,89,80,78,85,60,65,75,70,20,40,90,80,95,85,70,75,72,85,60,80,90,92,88,85,70,80,85,90,50,75,85,25,80,70,20,90,60
control,p00027,1,1948,3,4,2,1,9,Yes,40,30,45,60,55,65,70,80,75,50,60,55,20,40,80,80,40,90,85,60,70,65,75,50,30,60,70,80,50,30,40,50,60,20,35,45,10,15,25,0,50,20
control,p00028,1,1990,3,1,4,3,9,No,80,85,90,95,92,88,75,80,85,65,70,60,30,10,40,90,20,85,70,45,60,50,65,30,80,80,85,90,95,95,85,92,80,75,90,95,20,60,50,15,30,40
control,p00029,1,1997,3,2,2,2,6,Yes,85,90,95,98,99,97,96,92,94,80,95,88,99,0,60,100,60,95,90,90,95,92,98,88,98,98,99,100,100,80,90,95,98,70,85,92,50,60,80,40,70,65
control,p00030,1,1992,3,1,4,3,9,Yes,75,80,85,90,95,92,88,96,98,94,99,97,83,5,20,88,42,92,90,72,85,80,92,78,95,85,95,80,90,60,82,88,90,40,85,92,60,80,90,50,70,75
control,p00031,3,1998,3,5,5,3,8,Yes,95,92,98,99,97,96,94,95,98,91,93,96,92,2,80,99,70,98,97,85,90,88,92,78,95,92,95,96,99,99,98,97,99,80,95,96,50,90,80,30,95,85
control,p00032,1,2001,3,5,1,1,8,No,40,50,60,70,80,90,20,30,40,10,0,5,50,25,70,90,10,95,85,30,40,50,70,20,60,60,70,80,80,20,30,40,50,10,15,25,60,80,90,40,70,50
control,p00033,2,1982,1,3,5,4,8,Yes,90,92,95,98,96,94,91,88,90,85,89,92,70,20,60,90,20,95,88,92,96,94,98,80,80,85,92,90,95,95,98,96,94,92,90,95,75,80,85,50,90,80
control,p00034,2,1970,1,2,1,3,7,Yes,80,85,90,95,92,88,75,82,85,60,55,65,45,40,30,95,60,80,75,80,85,82,90,50,90,90,92,85,70,70,80,90,95,60,75,85,40,80,95,25,70,50
control,p00035,1,2003,2,3,5,1,8,No,50,60,70,80,85,90,40,35,30,10,15,5,20,25,0,95,10,90,80,20,40,45,50,10,30,60,70,85,90,25,45,80,90,20,70,95,20,80,40,10,60,50
control,p00036,2,1964,1,1,5,2,9,No,95,98,96,99,97,96,95,98,94,85,88,92,90,10,50,98,70,90,85,85,90,88,95,80,80,95,92,98,98,98,90,98,95,80,85,95,75,90,92,50,85,88
control,p00037,1,1948,2,3,3,3,6,Yes,80,85,90,95,92,88,98,99,96,80,90,95,92,0,50,95,0,90,85,85,95,92,98,80,98,98,99,95,98,90,92,95,98,80,85,90,60,70,40,10,50,30
control,p00038,1,1967,2,2,2,1,2,No,30,25,40,50,45,35,20,15,10,0,5,10,0,50,20,75,0,80,90,10,15,20,25,5,60,20,15,10,30,40,50,60,70,0,80,90,5,10,20,40,60,80
control,p00039,1,1974,3,1,3,4,8,No,80,85,90,95,92,88,78,82,89,70,75,85,60,20,40,85,20,90,80,55,60,50,70,45,65,70,75,60,80,85,90,95,80,20,90,85,40,60,50,80,70,30
control,p00040,2,1964,1,2,2,1,6,No,60,55,50,70,65,75,40,35,45,30,25,20,10,80,50,95,10,90,85,30,40,35,45,20,20,50,60,40,90,25,70,85,95,10,80,90,20,60,40,15,30,25
control,p00041,1,1992,3,4,4,3,8,No,85,90,92,95,97,96,88,91,93,95,98,94,80,15,50,98,10,95,92,92,95,94,96,90,90,85,90,88,85,80,85,95,92,10,90,88,20,50,30,60,40,25
control,p00042,2,1981,1,5,1,3,8,No,85,90,95,98,96,97,92,94,93,80,82,75,45,20,35,70,10,85,75,40,42,45,50,35,85,60,65,80,65,60,70,85,75,40,50,65,30,40,20,10,50,25
